date,time,type,title,description,speakers,room
2015-03-06,3:20 p.m. - 4:20 p.m.,Demo,Risk adjustment basics,"You're doing a story about a doctor with a high mortality rate. Is she a bad doctor or does she take the sickest patients? Or you're doing a story about a school with low test scores. Is it a bad school or does it have the hardest to teach students? How can you tell? The answer is risk adjustment. We'll show you how to use logistic regression and risk indices to make sure you're comparing apples to apples. Even if you never run a risk adjustment yourself, you'll learn how academics and government agencies risk adjust the data they release.

This session will be most useful if: You have a basic knowledge of statistics including the basics of regression.",Olga Pierce,International 10
2015-03-06,3:20 p.m. - 4:20 p.m.,Hands-on,Mapping JS: Building narrative with geo data + CartoDB,"Learn how to publish stylish interactive maps in javascript. We'll bridge from the Intermediate Javascript course and talk about how to apply JS skills to mapping visualizations. We'll cover some basics, data management, particulars of CartoJS and then some tools for designing narrative around maps. Below is a rough outline of the class.

Prerequisites: Some familiarity with Javascript/JQuery/SQL/Postgres is a plus.",Aurelia Moser,M109
2015-03-06,3:20 p.m. - 4:20 p.m.,Hands-on,Useful command line tools for reporters (repeat),"Ever had a CSV file too large to open in Excel?  Ever had one so big it crashed your computer? We’ll show you some simple tricks for wrangling data on the command line. If you've never programmed before but frequently use Excel and SQL, this class will make your life better. Bonus: We’ll show you how to make your Mac recite poetry for you.

Prerequisites: Not scared of a monochrome screen; perhaps Windows/Unix command line basics

Want a preview before committing to spending an hour with us? This repo is a work in progress: https://github.com/armendariz/terminal_recipes","Agustin Armendariz, Kendall Taggart",M101
2015-03-06,3:20 p.m. - 4:20 p.m.,Special Event,"NICAR Commons: Murder, you wrote","Learn how a free online resource developed by a NICAR member allows you to track murders, unsolved murders and victims in your communities. You'll be able to study which homicides police are solving -- or not. You can find specific cases, or track trends. You can even hunt for serial killers. This Website was cited in the final episode of the ""Serial"" podcast, indicating there may have been a serial killer active in Baltimore in the early 2000s. Taught informally by Tom Hargrove, director of quantified research at Scripps News Washington Bureau.",Thomas Hargrove,International Foyer
2015-03-06,4:30 p.m. - 5:45 p.m.,Panel,Lightning Talks (Sponsored by the Knight Foundation),"*Moderated by Sisi Wei, ProPublica

Sometimes you don't need 45 minutes to explain a useful technique or interesting resource. Join your colleagues for a session of short (5-minute) talks about doing CAR, Web development or other related topics. Anyone can suggest an idea, and the most popular talks will be given at this session. We'll provide a computer with Internet access and a projector, and the rest is up to you. Go here for a list of the 2015 lightning talks you selected.",Sisi Wei,Marquis A-B
2015-03-06,5:45 p.m. - 6 p.m.,Special Event,Membership meeting & Philip Meyer Awards Presentation,Speakers:,,Marquis A-B
2015-03-06,6 p.m. - 7:30 p.m.,Reception,Philip Meyer Award Reception,Join fellow CAR attendees in celebrating the Philip Meyer Award Winners at a reception Friday night with light hor d'oeuvres and a cash bar beginning at 6 p.m. in Marquis Ballroom C-D.,,Marquis C-D
2015-03-07,8:30 a.m. - 5 p.m.,Special Event,Conference sales (Saturday),"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. The winner of the IRE T-shirt contest will be displayed and on sale.",,International Foyer
2015-03-07,8:30 a.m. - 5 p.m.,Special Event,Conference registration (Saturday),Registration will be located on the International Level of the Atlanta Marriott Marquis.,,International Foyer
2015-03-07,9 a.m. - 10 a.m.,Panel,"Processes, standards and documentation for data-driven projects","Making news is hard, but it can be impossible without a process to support it. We'll discuss how we use team standards, documentation and consistent process to produce polished work on deadline. We'll cover cases where a team builds one thing – like a documentary or app – and when a team builds many things – like a document- or data-sharing project.

We’ll cover everything from technical stuff like a ticketing process to soft skills like how to foster a project vocabulary.","Christopher Groskopf, Paul Overberg",International 4-5
2015-03-07,9 a.m. - 10 a.m.,Panel,This just in: Data for breaking news investigations,"What will you do the next time a plane crashes, a fire starts or a politician gets caught in a scandal? We'll show you how you can prepare for the next big story using dashboards, searchable databases and more.

This session is good for: Anyone.","Stephen Stock, Cheryl Phillips",International 2-3
2015-03-07,9 a.m. - 10 a.m.,Panel,Getting it the rightest you can,"*Moderated by Jennifer LaFleur, The Center for Investigative Reporting

No data is/are perfect, but there are things you can do to make sure it's as bulletproof as possible. This session will cover tests you should put your data through to make sure it will hold water, questions you should ask data administrators about their data to make sure you don't get fooled, and how reporting on the ground can bolster the data you use for stories and apps.

This session is good for: Anyone who wants to be right","Jennifer LaFleur, Thomas Hargrove, John Perry, Janet Roberts",International 8-9
2015-03-07,9 a.m. - 10 a.m.,Hands-on,Do more in R with these useful new packages,"From interactive graphics and maps to data wrangling in a snap, new packages such as dplyr and dygraphs for R make it fast and easy to perform powerful data visualization & analysis.

This session is good for anyone who is familiar with R basics: running lines of code in RStudio and loading packages with the library() function.",Sharon Machlis,M106
2015-03-07,9 a.m. - 10 a.m.,Hands-on,Advanced Fusion Tables,"Google's Fusion Tables service is more than just a tool for simple maps. It's a relational database system you can use for analysis, data exploration and visualization. Also, we'll make prettier maps.",Daniel Lathrop,M104
2015-03-07,9 a.m. - 10 a.m.,Hands-on,Create your own interactive newsgame without coding,"After a brief introduction of powerful games created using Twine, you'll be using this popular open-source tool to brainstorm and create your own Choose-Your-Own-Adventure newsgame during the workshop. No coding experience necessary, as Twine will do all of the programming work for you, and generate an HTML file that is ready to publish anywhere. Plus, those with HTML/CSS and Javascript experience can also build upon and customize their games.

This session is good for: Beginner and advanced data users. No programming experience required, but those with HTML/CSS and Javascript experience can also build upon and customize their games.",Rebekah Monson,M107
2015-03-07,9 a.m. - 10 a.m.,Hands-on,Ruby 1: Introduction,"Learn the basics of programming through the Ruby language. In this class, we'll start with the fundamentals of the language and work our way through objects and simple scripts to access data APIs.

This session is good for: People who want to start learning to program. Laptops will be provided, but if you plan to use your own computer, please have Ruby installed already.",Al Shaw,See printed schedule for room information
2015-03-07,9 a.m. - 10 a.m.,Demo,Defense against the dark arts: Security for you and your sources,"Keeping your communications with sources secure is a vital part of your job as a journalist. But it's hard to know where to start and most of us don't have time to learn secure software well enough to trust it. We'll show you what you can do to secure yourself even if you have only a minute, or 10 minutes, and point you to further resources.

This session is good for: Anyone.","Jeff Larson, Mike Tigas",International 10
2015-03-07,9 a.m. - 10 a.m.,Hands-on,Twitter tricks and analytics (repeat session),"If you know the basics of Twitter, you're ready to ratchet up your skills. This hands-on session will take you to the next level: advanced Twitter searches, mining tweets by location, creative uses of Twitter lists (public and private), and apps/services that provide robust analytics. The payoff: better sources (particularly during breaking news) and a competitive edge in your market.

Prerequisite: Please have an active Twitter account set up before the class",Doug Haddix,M109
2015-03-07,9 a.m. - 10 a.m.,Special Event,NICAR Commons: Conversations - Internal tools for large datasets,"Are you thinking about or have you made (simple) tools to explore large, complex datasets for your newsroom?  Where do tools like Panda, Django, or Rails fils fit it?  How can we easily make something helpful with as little work as possible?  And easy to maintain?

*Alan Palazzolo",,International Foyer
2015-03-07,9 a.m. - 10 a.m.,Hands-on,Excel magic (advanced functions) *repeat session,"Learn about various tools and functions in Excel that come in handy when you need to re-structure or otherwise get your data ready for analysis. We'll cover string functions, logical functions, date functions, the Tableau Reshaper, merging data using lookup functions and perhaps a few other nifty tricks if time allows. This is a fast-paced class intended to introduce you to these tools, not master them. But you'll walk out with practice data and a 20-page tipsheet that covers in detail everything we do in class, plus other great Excel tips.

Recommended for: anyone feeling comfortable with basic Excel functions and formulas.",MaryJo Webster,M103
2015-03-07,9 a.m. - 10 a.m.,Panel,"Design/Viz: What to do, and what not to do","Good design helps maximize your story's impact by increasing its usability and comprehension. This session covers the basic user experience dos and don'ts for online journalism. We'll include plenty of examples of good and bad design from leading journalism outlets.

This session is good for: anyone who thinks about design and its impact on good journalism.","Lena Groeger, Anna Flagg, Moiz Syed",International 6-7
2015-03-07,9 a.m. - 10 a.m.,Hands-on,More MySQL: Learn to use the command line and other powerful features,"Take the next step with open-source database manager MySQL by learning how to import data from the command line, check the integrity of your data, and do necessary cleanup and analysis using some of the MySQL's powerful features and functions.

This session is good for: People who attended “Getting started with MySQL” or who have some experience using databases in MySQL.",Agustin Armendariz,M105
2015-03-07,9 a.m. - 12:20 p.m.,Hands-on,Build your first news app (Saturday) *pre-registered attendees only,This is a continuation of Friday's hands-on workshop.  Preregistered attendees only.,"Ben Welsh, Derek Willis",M102
2015-03-07,10:10 a.m. - 11:10 a.m.,Hands-on,Tools for cracking PDFs,Ever receive a FOIA response that has all the data you want -- but in PDF files? Ever try accessing that data in Excel or database software? In this session you'll get hands-on experience cracking PDFs so you can analyze the data for stories.,Danielle Cervantes,M109
2015-03-07,10:10 a.m. - 11:10 a.m.,Special Event,"Elections, what are they good for?","Elections represent the best opportunity for Americans to shape policy and reimagine their shared future. It is also a chance for journalists to ignite people's civic spirit. How can we do this better? How might we better inform voters and increase civic participation before, during and after elections?",,International A
2015-03-07,10:10 a.m. - 11:10 a.m.,Hands-on,R: Preplication,"Some data journalists are providing replication files with their stories-- enabling readers to download a package of data and scripts that reproduce a story's findings. I will show how to adapt these techniques to the reporting stage of a story--a practice I'm calling “preplication.” On a recent project, I supplied open-source preplication packages to a dozen Wall Street firms I was investigating, to allow them to critique the statistical scripts I wrote to rank their trading practices. This computerized evidence “confrontation” helped me clean up errors in my scripts and ensured the story held fewer surprises for them...or me. These preplication files then became the replication files we posted for our readers. In this session, we'll examine and run these files in Rstudio. You'll learn about pitfalls and best practices in such pre-publication file-sharing, which are matters of journalism practice not confined to a particular application or language. While we're doing this class in R, it won't require specific knowledge of R or any other language.",Bill Alpert,M106
2015-03-07,10:10 a.m. - 11:10 a.m.,Hands-on,Ruby 2: Acquiring and transforming data,"In this intermediate class, we'll cover how to grab public data from the internet and transform it into clean data ready to use in the newsroom. Along the way, we'll cover topics such as parallel processing and metaprogramming.

This class is good for: Folks who have had a bit of ruby in the past.",Jeff Larson,M101
2015-03-07,10:10 a.m. - 11:10 a.m.,Hands-on,Advanced SQL for analysis,"If you feel comfortable with the Structured Query Language basics that IRE teaches in its boot camps -- SELECT, FROM, WHERE, GROUP BY -- but are ready to see what else SQL can do, this session is for you. We will cover more advanced ways of manipulating and questioning data, such as UPDATE queries, different types of joins, writing sub-queries, merging results from two queries, and other neat tricks. Some of this SQL is too advanced for Microsoft Access, so we will use MySQL in the class.

This session will be most useful if: You are comfortable with the counting, summing, in SQL and are familiar with joining tables.",Liz Lucas,M105
2015-03-07,10:10 a.m. - 11:10 a.m.,Hands-on,Advanced Python for data analysis: Part 1,"Once you know the basics of how to scrape and ingest data in Python, you're probably itching to use it to for data analysis projects. In this hands-on workshop, we'll get you started with IPython Notebooks and pandas to do the kind of basic manipulations with code that you're used to in Excel and then walk you through the kind of analysis and manipulation you can't do in Excel.

To get the most out of this class: You should be comfortable on the command line and with the basics of the Python interpreter and its object types.",Travis Swicegood,M104
2015-03-07,10:10 a.m. - 11:10 a.m.,Demo,Building mobile-ready visualizations and maps in minutes with Silk,"Silk is an all-purpose tool for data journalism that lets anyone convert spreadsheets into an online database and data visualizations in minutes. In this demo session we'll pull data about 2015 killings by the police in California aggregated from Facebook and and turn it into maps, charts, and interactive tables. Then we'll upload data from the 500 most successful Kickstarter technology projects in 2014, do some quick visual analysis, then save and publish visualizations.",Alex Salkever,International 10
2015-03-07,10:10 a.m. - 11:10 a.m.,Hands-on,Municipal bonds 101,"Curious about covering your local and state and government borrowing but don't know how to get started? Join this hands-on session to get a technical overview of how to analyze bond offering statements: how to find them, what the numbers mean, how to identify the key terms and conditions and scale-up your reporting using public and private data sources. We will walk you through several offering statements and teach participants how to develop a basic framework for finding the data they need to track local borrowing. Topics covered will include: navigating the EMMA database, finding and reading official statements, using CUSIP identifiers to track debt, find credit ratings, ongoing disclosures, and calculating and benchmarking borrowing costs, and capital appreciation bonds (CABs).",Cezary Podkul,M107
2015-03-07,10:10 a.m. - 11:10 a.m.,Special Event,NICAR Commons: Conversations - Doing better by our international colleagues,"Doing better by our international colleagues. Many journalists working outside of the United States face serious obstacles including extreme physical danger and low levels of Internet access and tech resources. Although there has been a lot of collaboration with those colleagues, we can do more. I'll talk about concrete steps to do just that.

*Jeff Kelly Lowenstein",,International Foyer
2015-03-07,10:10 a.m. - 11:10 a.m.,Panel,How to build a happy team,"*Moderated by Trei Brundrett, Vox Media

So now you’re a manager. Don’t worry, it’ll be awesome. In this session, we’ll talk with four team leaders about running teams that kick ass. We’ll talk about process, organization, and how we manage the team and their work — including what we do to manage *our* managers.","Becca Aaronson, Lauren Rabaino, Adam Schweigert, Trei Brundrett, Brian Boyer",International 4-5
2015-03-07,10:10 a.m. - 11:10 a.m.,Panel,Social media sleuthing,"Explore new apps and advanced searches to find experts and other sources for enterprise and breaking news stories. Discover how best to find people quickly on Facebook, Twitter, LinkedIn and Instagram. Learn the best tricks for finding sources in a specific location (city, region, state or country).

This session is good for: Anyone.",Doug Haddix,International 8-9
2015-03-07,10:10 a.m. - 11:10 a.m.,Panel,(Keep) following the money on state and local politics,"*Moderated by Ben Wieder, The Center for Public Integrity

The votes have been counted and you’ve tallied the top political donors. Learn about how to use data to connect the dots between political spending and policy and use other publicly available data to explain key demographic indicators that can explain how the election was decided – and how future elections will be fought.","Ben Wieder, Denise Malan, Edwin Bender, Ted Mellnik",International 6-7
2015-03-07,10:10 a.m. - 11:10 a.m.,Panel,Sensor journalism: Buzz or BS?,"The hype around Sensor Journalism is that it's a major new frontier in Data Journalism. So where are all the examples? Is it buzz or BS? We'll explore that, show some successes and unveil a few projects emerging from the lab.","John Keefe, Travis Hartman, Matthew Waite, Amy Schmitz Weiss",International 2-3
2015-03-07,10:10 a.m. - 11:10 a.m.,Hands-on,Text editing with Regular Expressions,"A saying goes, if you have a problem and think, ""I know, I'll use Regular Expressions,"" you now have two problems. Come learn to wield the power of text pattern matching to transform data and shortcut complex cleaning tasks. Leave with an abiding dread of malicious search-and-replace and pick up some safe-handling practices to keep you from the pit of a regex gone bad.",Jon McClure,M103
2015-03-07,11:20 a.m. - 12:20 p.m.,Hands-on,Amazon cloud basics (repeat session),"Cloud servers are an amazingly flexible way to use computing resources. Servers and test benches used to take weeks to order and configure, but thanks to the cloud, you can build up arbitrarily complex farms of computers to do your bidding in a few minutes, from serving a dynamic news app to crunching through a data set to trying out a new technology on the cheap. This course will help you understand the thicket of acronyms and programs that make up Amazon's AWS system and will get you started building servers.

All you need is a normal Amazon account. Before the class, go to http://aws.amazon.com/ and click ""sign up,"" and follow the instructions so you've got an account ready. Important note: We'll build actual servers and then turn them off, which may cost a few dollars.",Mike Tigas,M105
2015-03-07,11:20 a.m. - 12:20 p.m.,Hands-on,Under pressure: Real life in real time with breaking news,"What do you do when a bridge collapses, a plane crashes, oil spills or a building explodes? In this session you'll walk through a real-life breaking news scenario tackling it as an investigator. We'll let you try it on your own then we'll walk you through some resources you might not have known existed. Beat your competition with these tips and sources. Be ready to participate in real time, actual breaking news simulation!",Stephen Stock,M106
2015-03-07,11:20 a.m. - 12:20 p.m.,Hands-on,OpenRefine (repeat session),"Learn to take filthy, stinking, messy data from an unhelpful government agency and transform it into something useful with the help of OpenRefine. If you often have to scrub and standardize huge spreadsheets, but you haven't delved into regular expressions, this program will change your life.

This session will be most useful if: You have some experience working with data in columns and rows, in spreadsheets or database managers.",David Herzog,M103
2015-03-07,11:20 a.m. - 12:20 p.m.,Panel,Go home and share your work!,"A couple days at NICAR will fill your head with new skills and knowledge, the kinds of things that not only make you a better journalist, but can have a huge effect on colleagues when you get home. Sharing what you've learned makes your whole newsroom stronger, lets you identify new people to collaborate with, and even helps you internalize all those great ideas you've got right now. We'll talk through teaching strategies that have gotten results--from small-group conversations to internal hack days--and work together to figure out how you might apply them to the specific needs of your newsroom.","Ransome Mpini, Kio Stark, Erika Owens, Ryan Pitts",International 4-5
2015-03-07,11:20 a.m. - 12:20 p.m.,Hands-on,Machine learning,"First things first: There is no way you're going to learn machine learning in 60 minutes. That said, this course will introduce the basic concept of classification using the Python library scikit-learn. We'll talk about the intuition of simple classification, along with some of the pitfalls and gotchas you should watch out for in the newsroom.",Chase Davis,M107
2015-03-07,11:20 a.m. - 12:20 p.m.,Demo,Intermediate/Advanced Security,"In this workshop, Harlo Holmes (Guardian Project/OpenNews Alum) and Aurelia Moser (CartoDB/OpenNews Alum]) will go through the finer details of digital security with key management, software verification, 2-Factor Authentication, PGP, OTR chat, and encrypted file sharing; and guide you through some common rough spots. Please bring your laptops, and get ready to go beyond ""hello world""!

Attendees should be comfortable with basic digi-sec concepts. Knowledge of the command line (terminal) will be helpful, but not prerequisite.","Harlo Holmes, Aurelia Moser",International 10
2015-03-07,11:20 a.m. - 12:20 p.m.,Panel,Making data-informed design decisions,,"Tyler Fisher, Josh Kadis",International 6-7
2015-03-07,11:20 a.m. - 12:20 p.m.,Hands-on,Advanced Python for data analysis: Part 2,"We'll continue our dive into Python's data toolset by munging, crunching and plotting data in code. Using iPython, pandas and other libraries, we'll walk you through how they can transform, summarize, explore and visualize large data sets.

To get the most out of this class: You should have gone to Advanced Python for data analysis: Part 1.",Tom Meagher,M104
2015-03-07,11:20 a.m. - 12:20 p.m.,Hands-on,Import.io: Web scraping without coding (repeat session),"import.io allows you to convert data from the internet into a structured useable table. This data can then be used to analyze trends, build leads and build news stories. Extracting data gives you ultimate control. The class centers around extracting data from the web followed by manipulating and using that data. We will use import.io to gather the data and then use 3rd programs (Google Sheets and Excel) to manipulate and use the data.",Andrew Fogg,M109
2015-03-07,11:20 a.m. - 12:20 p.m.,Panel,Policing the police,"*Moderated by Corey Johnson, The Marshall Project

Police officers and prosecutors are supposed to uphold the law, but sometimes they break it -- and get away with it. Learn how to uncover criminal conduct among law enforcement using data analysis, open records laws and shoe-leather reporting.","Rob Barry, Ben Poston, Topher Sanders, Corey Johnson",International 8-9
2015-03-07,11:20 a.m. - 12:20 p.m.,Hands-on,Ruby 3: Simple web apps with Ruby,"This class includes an overview the two most popular frameworks for creating web applications with ruby: Ruby on Rails and Sinatra. After you've learned enough ruby to work with a set (or sets) of data and clean it up, how do you turn it into something your readers can interact with? We'll focus on using the simple Sinatra framework to build on what you've learned in ruby 1 & 2.

This class will be most useful if: You attended the Ruby 1 & 2 classes or have previous Ruby experience.",Jacob Harris,M101
2015-03-07,11:20 a.m. - 12:20 p.m.,Panel,Deep dive: Phil Meyer Award winners,"*Moderated by Phil Williams, WTVF-Nashville

The winners of the Philip Meyer Award take you behind the scenes and offer insights, tips and strategies that helped them pull of their award-winning work. These projects uncovered how the medical injuries overbills elderly patients to the tune of billions of dollars, the dangers that temporary workers face and the risks of rising ocean levels.","Phil Williams, David Donald, Ryan McNeill, Michael Grabell, Lena Groeger, Jeff Larson, Olga Pierce, Fred Schulte",International 2-3
2015-03-07,2:10 p.m. - 3:10 p.m.,Panel,Catching fire: Spreading data journalism throughout the newsroom,"Sure you've figured it by now how to one-man(or one-woman)-band it, but shouldn't data-driven journalism be a team sport? Come chat with us and learn how we've successfully gotten buy-in from leadership, trained up colleagues, and created resources to produce more data stories created by more people. We'll tell you the good, the bad, and the ugly of our experiences and then want to hear about yours.","Emma Carew Grovum, Jeff Ernsthausen, Jodi Upton",International 4-5
2015-03-07,2:10 p.m. - 3:10 p.m.,Panel,Spotlight: Talking about uncertainty,"We often think of journalism as a process of answering questions. But many questions don’t have yes or no answers. The language of probability gives us a way of talking about uncertainty without just shrugging our shoulders. I'll talk about Nate Silver and his critics; will possibly quote John Ashbery and Teddy Roosevelt; will definitely try to convey something of the mathematician's view on ""to what extent and in what fashion can newswriting be a quantitative enterprise""

This session is good for: Anyone.",Jordan Ellenberg,International 6-7
2015-03-07,2:10 p.m. - 3:10 p.m.,Hands-on,Automate your development life: Build and deploy with Yeoman and Grunt,"We've all been there – moving files one by one, minifying our scripts, running our CSS compilers – all by hand. But there's a better way! The proliferation of static site generators have led to an explosion of tools that make it easy to automate the tedious parts of static site building and achieve consistent results. If you've ever used a tool like Jekyll, you've used a static site generator! In this workshop I'll show you how to build your own basic generator with node.js, walk through how all the parts interact and set you on the path of being able to customize a generator to your needs.

Comfort with working on the command line required! Experience with or awareness of node.js recommended.",Ryan Murphy,M106
2015-03-07,2:10 p.m. - 3:10 p.m.,Hands-on,Getting started with Python (repeat session),"Want to upgrade your data skills? Come learn the Python programming language for a three-hour span. Geared toward beginners, this class with go over language basics and introduce you to key concepts. You'll then take your new Python skills and learn how to read, manipulate and analyze data from a spreadsheet.

This session is good for: People who know their way around a computer and are ready to dive into programming. All are welcome, though some familiarity with spreadsheets and the command line will certainly help.","Ryan Nagle, Marcos Vanetta, Aaron Williams",M104
2015-03-07,2:10 p.m. - 3:10 p.m.,Demo,How to draw the Internet: Better interactives through paper prototyping,"Writing code is hard. Drawing is easy. In this session, we'll teach you how to use paper prototypes to design an effective interactive. Refining ideas on paper gets you important feedback at the start of a project, before you've painted yourself into a corner with a wrong approach. We'll practice thinking like a computer without using one -- with better, more meaningful results to show for it.","Noah Veltman, Sisi Wei",International 10
2015-03-07,2:10 p.m. - 3:10 p.m.,Panel,"So they bought a federal candidate, now what?","*Moderated by Ben Wieder, The Center for Public Integrity

Campaign donations are only one part of the political influence puzzle. Learn more about using data from the FEC, the FCC and elsewhere to develop a fuller picture of the variety of ways in which top donors are trying to buy your local Congressperson, and how some political operatives are getting rich in the process.","Ben Wieder, Jacob Fenton, Sarah Bryner, Christopher Schnaars",International 2-3
2015-03-07,2:10 p.m. - 3:10 p.m.,Panel,Data negotiation: To FOIA or not to FOIA,"*Moderated by Mark Horvit, IRE/NICAR

We've all been there: They've got the data, you want it, and they're saying you can't have it. The law seems to be on your side, but that doesn't seem to be enough. Learn strategies for wrestling data and documents out of the grip of government agencies, how to deal with various kinds of rejection, and ways to think about obtaining data when all seems lost.

This session is good for: Anyone.","Mark Horvit, Michael Grabell, Paula Lavigne, Anupama Narayanswamy",International 8-9
2015-03-07,2:10 p.m. - 3:10 p.m.,Hands-on,Introduction to mapping: Importing and displaying data geographically with QGIS,"QGIS is the leading free, open source Geographic Information System (GIS) program. You'll learn how to use QGIS to make a simple thematic map, with areas colored according to data, plus a map of points scaled according to values in the data, how to set their map projections, and how to export them as a vector graphic.

No prior experience of GIS/mapping required.",Peter Aldhous,M102
2015-03-07,2:10 p.m. - 5:30 p.m.,Hands-on,Mini Boot Camp (Saturday) *pre-registered attendees only,This is a continuation of Friday's hands-on workshop.  Preregistered attendees only.,"Denise Malan, Liz Lucas",M103/M105
2015-03-07,2:10 p.m. - 3:10 p.m.,Hands-on,Twitter Bootstrap: Responsive website framework,"Twitter Bootstrap is an open source front-end framework and one of the easiest ways to create a responsive website. It's also great for one-off website projects that don't fit into a CMS, and a presentation framework for all your map and data-driven stories. In this workshop, we will walk through how to create a simple website incorporating a responsive grid system, customized CSS and basic Javascript-based components.

This class will be most helpful if: You can make a basic webpage in HTML and CSS.",Erika Lee,M107
2015-03-07,2:10 p.m. - 3:10 p.m.,Hands-on,Web scraping using Python (repeat session),"This session will cover the fundamentals of web scraping using the Python scripting language. We'll go through which libraries are best to integrate into your scraper as you write it; show you how to handle common issues that can come up when you're capturing data; and discuss how to get your results into a usable format when you're all done.

This session will be most useful if: You have a grounding in the basics of Python or another programming language.",Paul Schreiber,M101
2015-03-07,2:10 p.m. - 3:10 p.m.,Special Event,"NICAR Commons: Minezy - small data, big stories","Minezy is a Knight-funded prototype that allows you to dig and analyze email dumps. Co-founder T. Christian Miller will show how Minezy can rip through the 1.6 million emails from Jeb Bush's days as Florida governor, and make sense of them. We might even find a story.",T. Christian Miller,International Foyer
2015-03-07,2:10 p.m. - 3:10 p.m.,Hands-on,Getting started with SQLite,"Are you tired of standing on the sidelines while everyone else has all the fun with database queries? Tired of hoping that Access is doing what you think it's doing when you point and click? Wouldn't you rather just tell your database manager what slice of the data you want? Join us for a hassle free entry to the world of SQL, (Structured Query Language), the lingua franca of relational databases. It's surprisingly simple and surprisingly powerful -- and it works in just about any database you can name.

This session will be most helpful if: You have some experience working with data in columns and rows.

<",Troy Thibodeaux,M109
2015-03-07,3:20 p.m. - 5:30 p.m.,Special Event,NICAR Commons: Cryptoparty,"Several conference sessions cover tools and applications to improve security for you and your sources. Now that you've heard about them, you're probably itching to try them out. We'll be available to help anybody with a laptop or a smartphone to install more secure software and learn how to use it right. We will rely on volunteers to help out, so what you're able to install and how long it takes will depend on demand. Remember also that you must have administrative privileges on your machine; if you're blocked from these privileges, we won't be able to override that.","Jeff Larson, Mike Tigas",International Foyer
2015-03-07,3:20 p.m. - 4:20 p.m.,Hands-on,Summing and grouping in SQLite,"The second session in the SQLite workshop will build up your SQL muscles, adding some common tasks that journalists need every day: getting counts and sums, munging the text of your data to make it more useful and structuring your data in a way that will make you more confident in the conclusions you reach.

This is the second of three SQL sessions using SQLite, but attendance at the earlier session is not required.",Troy Thibodeaux,M109
2015-03-07,3:20 p.m. - 4:20 p.m.,Hands-on,Python 2,Continuation of Getting started with Python,"Marcos Vanetta, Ryan Nagle, Aaron Williams",M104
2015-03-07,3:20 p.m. - 4:20 p.m.,Hands-on,Reporting and presentation with DocumentCloud,"Get to know the suite of tools that DocumentCloud offers to help you better organize, analyze and present public documents.","Anthony DeBarros, Ted Han",M106
2015-03-07,3:20 p.m. - 4:20 p.m.,Hands-on,Teach yourself to code (repeat session),"When you don't know anything about learning to code, it can seem like a daunting task. Fortunately, the Internet is stock-full of examples and answers to help you.

In this class, we'll share tips on how to teach yourself to code by working with others' code, reverse-engineering example code to make it do what you want, and adapting open source libraries. In the process, we'll demo browser dev tools to show you how to inspect work by other outlets and see how websites function the behind the scenes. We'll also demonstrate how those same tools can help you inspect webpages you've built to fix problems and test how the website will look on various devices. The class will focus on sharing tips on reading and reverse-engineering others' code; finding answers to tricky questions and code examples on StackOverflow, CSSTricks, CodePen etc.; and pulling down and using GitHub repos from other news outlets.

Requirements: Code curiosity and a stubborn devotion to figuring out how things work. It's recommended that you set up a (free) Github account ahead of time and complete Code School's free courses on HTML/CSS, Javascript and Git.",Becca Aaronson,M101
2015-03-07,3:20 p.m. - 4:20 p.m.,Hands-on,Visualizing your data with R (repeat session),"Once you've taken your first steps with R, the open-source statistics software, learn how to explore your data with box plots, scatterplots and histograms. Find patterns, amaze your friends and awe your editors!",Ronald Campbell,M107
2015-03-07,3:20 p.m. - 4:20 p.m.,Panel,Flying solo: When your data “team” is just you,"*Moderated by Brent Jones, St. Louis Public Radio

Are you a data team of one? Are you not even a data team (yet)? Join us as we talk about how to do data all by yourself — finding it, cleaning it and visualizing it. We'll share tips and tools to make you more efficient and project examples to show you what';s possible for a solo data journalist. We'll also talk about how to avoid mistakes, find mentors and get buy-in from other reporters and editors in your newsroom.","Kate Martin, Scott Pham, Brent Jones, Chad Skelton",International 8-9
2015-03-07,3:20 p.m. - 4:20 p.m.,Hands-on,Mapping 2: Manipulating and editing geographic data with QGIS,"QGIS is a powerful tool for processing data for use by other mapping applications, including for web mapping. In this class you'll learn how to join tables of data to existing shapefiles and how to save data in formats commonly used for web mapping. You'll also learn how to edit geographic data, and how to process data consisting of hundreds or thousands of points to give a more meaningful summary display.

This session will be most helpful if: You completed the Mapping 1 class, or have some prior experience working with QGIS",Michael Corey,M102
2015-03-07,3:20 p.m. - 4:20 p.m.,Panel,Getting started with machine learning,You don't need a PhD to get started with machine learning. Learn about creative ways machine learning and other statistical modeling techniques have been used to solve unique problems in three different newsrooms. We'll cover several examples and leave plenty of time for questions.,"Chase Davis, Jeff Ernsthausen, Jacob Fenton",International 2-3
